Neighborhood,Year,Number of Rent Regulated Housing
Ridgewood/Glendale,2014,14491.74233
Rego Park/Forest Hills,2014,18700.62199
Flushing,2014,24369.00199
Fresh Meadows/Briarwood,2014,14546.3564
Woodhaven,2014,7658.29886
Howard Beach,2014,194.16724
Bayside,2014,2907.56446
Jamaica/St. Albans,2014,10375.57561
Queens Village,2014,1861.03342
The Rockaways,2014,11307.78528
St. George,2014,10406.86516
South Beach,2014,2169.5782
Tottenville,2014,2112.99399
Bronx,2014,247911.93576
Brooklyn,2014,329520.64524
Manhattan,2014,324581.85271
Queens,2014,201225.09021
Staten Island,2014,14689.43735
New York City,2014,1117928.96127
Battery Park/Tribeca,2017,9028.16784
Greenwich Village,2017,13327.4223
Lower East Side,2017,25844.6744
Chelsea/Clinton,2017,18213.66558
Midtown Business District,2017,9115.7416
Murray Hill/Stuyvesant,2017,24229.31106
Upper West Side,2017,27295.81238
Upper East Side,2017,26324.88298
Manhattanville,2017,22904.50012
Central Harlem,2017,26607.61852
East Harlem,2017,18668.11098
Washington Heights,2017,51782.6327
Mott Haven,2017,14912.70221
Hunts Point,2017,8515.35067
Morrisania,2017,12979.54957
Concourse/Highbridge,2017,38960.23185
University Heights,2017,36632.53948
East Tremont,2017,13550.07564
Bedford Park,2017,41233.38126
Riverdale,2017,24262.96416
Unionport/Soundview,2017,22793.50652
Throgs Neck,2017,5473.66104
Pelham Parkway,2017,14936.63348
Williamsbridge,2017,14157.72516
Williamsburg/Greenpoint,2017,26560.32036
Fort Greene/Brooklyn Hts,2017,10729.28468
Bedford Stuyvesant,2017,16566.01905
Bushwick,2017,12644.72022
East New York,2017,12310.02279
Park Slope,2017,7902.48843
Sunset Park,2017,11715.33898
Crown Heights North,2017,19798.41899
Crown Heights South,2017,29643.84998
Bay Ridge,2017,18873.8421
Bensonhurst,2017,22227.85992
Borough Park,2017,15791.67606
Coney Island,2017,19374.01402
Flatbush/Midwood,2017,31608.9446
Sheepshead Bay,2017,17254.70867
Brownsville,2017,15090.27992
East Flatbush,2017,18036.3995
Canarsie,2017,3781.55684
Astoria,2017,28450.33766
Sunnyside/Woodside,2017,19530.40738
Jackson Heights,2017,18890.2602
Elmhurst/Corona,2017,20536.3426
Ridgewood/Glendale,2017,15503.9851
Rego Park/Forest Hills,2017,17677.88558
Flushing,2017,20523.66998
Fresh Meadows/Briarwood,2017,12063.41423
Woodhaven,2017,8550.34258
Howard Beach,2017,208.46676
Bayside,2017,3051.47268
Jamaica/St. Albans,2017,10787.66992
Queens Village,2017,1677.94072
The Rockaways,2017,14229.63377
St. George,2017,10793.06366
South Beach,2017,1203.57964
Tottenville,2017,2149.73186
Bronx,2017,248408.32104
Brooklyn,2017,309909.74511
Manhattan,2017,273342.54046
Queens,2017,191681.82916
Staten Island,2017,14146.37516
New York City,2017,1037488.81093
Battery Park/Tribeca,2002,0.69534
Greenwich Village,2002,0.69534
Lower East Side,2002,0.65237
Chelsea/Clinton,2002,0.7029
Midtown Business District,2002,0.7029
Murray Hill/Stuyvesant,2002,0.74514
Upper West Side,2002,0.72339
Upper East Side,2002,0.71435
Manhattanville,2002,0.79329
Central Harlem,2002,0.77334
East Harlem,2002,0.4362
Washington Heights,2002,0.94563
Mott Haven,2002,0.6039
Hunts Point,2002,0.6039
Morrisania,2002,0.65743
Concourse/Highbridge,2002,0.86215
University Heights,2002,0.9305
East Tremont,2002,0.65743
Bedford Park,2002,0.91337
Riverdale,2002,0.81305
Unionport/Soundview,2002,0.48001
Throgs Neck,2002,0.41226
Pelham Parkway,2002,0.57628
Williamsbridge,2002,0.33587
Williamsburg/Greenpoint,2002,0.63665
Fort Greene/Brooklyn Hts,2002,0.46433
Bedford Stuyvesant,2002,0.32424
Bushwick,2002,0.44806
East New York,2002,0.36756
Park Slope,2002,0.3797
Sunset Park,2002,0.39656
Crown Heights North,2002,0.61803
Crown Heights South,2002,0.80758
Bay Ridge,2002,0.59757
Bensonhurst,2002,0.44939
Borough Park,2002,0.47252
Coney Island,2002,0.64972
Flatbush/Midwood,2002,0.81915
Sheepshead Bay,2002,0.59687
Brownsville,2002,0.36299
East Flatbush,2002,0.55781
Canarsie,2002,0.13868
Astoria,2002,0.56918
Sunnyside/Woodside,2002,0.73634
Jackson Heights,2002,0.46889
Elmhurst/Corona,2002,0.63946
Ridgewood/Glendale,2002,0.27406
Rego Park/Forest Hills,2002,0.78693
Flushing,2002,0.53334
Fresh Meadows/Briarwood,2002,0.6989
Woodhaven,2002,0.36246
Howard Beach,2002,0.1511
Bayside,2002,0.20669
Jamaica/St. Albans,2002,0.41151
Queens Village,2002,0.22174
The Rockaways,2002,0.50415
St. George,2002,0.3986
South Beach,2002,0.06963
Tottenville,2002,0.17857
Bronx,2002,0.67804
Brooklyn,2002,0.51404
Manhattan,2002,0.72793
Queens,2002,0.50829
Staten Island,2002,0.23993
New York City,2002,0.59272
Battery Park/Tribeca,2005,0.59252
Greenwich Village,2005,0.59252
Lower East Side,2005,0.58052
Chelsea/Clinton,2005,0.66057
Midtown Business District,2005,0.66057
Murray Hill/Stuyvesant,2005,0.64452
Upper West Side,2005,0.70037
Upper East Side,2005,0.61672
Manhattanville,2005,0.76895
Central Harlem,2005,0.74414
East Harlem,2005,0.50487
Washington Heights,2005,0.94405
Mott Haven,2005,0.66911
Hunts Point,2005,0.66911
Morrisania,2005,0.68587
Concourse/Highbridge,2005,0.89232
University Heights,2005,0.92598
