Neighborhood,Year,Poverty Rate
Queens,2009,12.595
Manhattan,2009,16.553
Brooklyn,2009,21.794
Bronx,2009,28.544000000000004
Tottenville,2009,4.342
South Beach,2009,11.336
St. George,2009,17.386
The Rockaways,2009,20.095
Queens Village,2009,6.166
Jamaica/St. Albans,2009,12.706000000000001
Bayside,2009,7.559
Howard Beach,2009,8.073
Woodhaven,2009,11.555
Fresh Meadows/Briarwood,2009,12.888
New York City,2009,18.725
Rego Park/Forest Hills,2009,10.436
Flushing,2009,11.425
Bay Ridge,2009,15.556000000000001
Bensonhurst,2009,14.408999999999999
Borough Park,2009,27.555000000000003
Coney Island,2009,19.965
Sheepshead Bay,2009,11.922
Brownsville,2009,36.003
Flatbush/Midwood,2009,25.054
Canarsie,2009,9.303
Astoria,2009,15.914
Sunnyside/Woodside,2009,10.213
Jackson Heights,2009,16.037000000000003
Elmhurst/Corona,2009,22.323
Ridgewood/Glendale,2009,12.119
East Flatbush,2009,11.725
Unionport/Soundview,2010,25.39
East Tremont,2010,43.514
Bedford Park,2010,32.708
Riverdale,2010,18.464
Throgs Neck,2010,16.38
East New York,2010,36.02
Williamsbridge,2010,21.212
Williamsburg/Greenpoint,2010,26.491
Fort Greene/Brooklyn Hts,2010,18.115000000000002
Bedford Stuyvesant,2010,30.715999999999998
Bushwick,2010,28.451999999999998
Pelham Parkway,2010,21.115000000000002
University Heights,2010,40.038000000000004
Central Harlem,2010,28.065
Morrisania,2010,43.514
Battery Park/Tribeca,2010,9.876
Greenwich Village,2010,9.876
Lower East Side,2010,22.163
Chelsea/Clinton,2010,11.735
Midtown Business District,2010,11.735
Murray Hill/Stuyvesant,2010,7.026000000000001
Concourse/Highbridge,2010,35.02
Upper West Side,2010,10.407
Manhattanville,2010,28.720000000000002
Park Slope,2010,11.346
East Harlem,2010,30.822
Washington Heights,2010,19.533
Mott Haven,2010,41.124
Hunts Point,2010,41.124
Upper East Side,2010,6.758
Sunset Park,2010,26.704
Sheepshead Bay,2010,13.749
Crown Heights South,2010,25.593
New York City,2010,20.111
Staten Island,2010,11.759
Queens,2010,15.009
Manhattan,2010,16.401
Brooklyn,2010,23.02
Bronx,2010,30.233999999999998
Tottenville,2010,7.009
South Beach,2010,9.716
St. George,2010,17.918
The Rockaways,2010,22.422
Queens Village,2010,7.1129999999999995
Jamaica/St. Albans,2010,18.831999999999997
Bayside,2010,7.263999999999999
Howard Beach,2010,11.582
Crown Heights North,2010,25.885
Woodhaven,2010,13.058
Flushing,2010,14.254
Ridgewood/Glendale,2010,17.142
Elmhurst/Corona,2010,19.163
Jackson Heights,2010,22.375
Sunnyside/Woodside,2010,12.217
Astoria,2010,18.971
Canarsie,2010,11.427
East Flatbush,2010,15.402
Brownsville,2010,39.763
Flatbush/Midwood,2010,22.442
Coney Island,2010,27.973
Borough Park,2010,32.227
Bensonhurst,2010,13.953
Bay Ridge,2010,15.348
Fresh Meadows/Briarwood,2010,13.733999999999998
Rego Park/Forest Hills,2010,9.690999999999999
Battery Park/Tribeca,2011,7.48
New York City,2011,20.898
Sunset Park,2011,23.463
Park Slope,2011,10.35
East New York,2011,34.031
Bushwick,2011,32.208999999999996
Bedford Stuyvesant,2011,32.239000000000004
Fort Greene/Brooklyn Hts,2011,19.374
Williamsburg/Greenpoint,2011,31.695
Williamsbridge,2011,18.791
Pelham Parkway,2011,20.971999999999998
Throgs Neck,2011,12.620999999999999
Unionport/Soundview,2011,27.721
Riverdale,2011,18.676000000000002
Bedford Park,2011,31.72
University Heights,2011,40.32
Concourse/Highbridge,2011,41.065000000000005
Morrisania,2011,42.909000000000006
Hunts Point,2011,40.576
Mott Haven,2011,40.576
Washington Heights,2011,25.768
East Harlem,2011,29.286
Central Harlem,2011,26.490000000000002
Manhattanville,2011,29.604999999999997
Upper East Side,2011,6.6339999999999995
Upper West Side,2011,11.511000000000001
Murray Hill/Stuyvesant,2011,10.974
Midtown Business District,2011,13.131
Chelsea/Clinton,2011,13.131
Lower East Side,2011,28.605000000000004
Greenwich Village,2011,7.48
Crown Heights North,2011,26.858999999999998
Crown Heights South,2011,21.601
East Tremont,2011,42.909000000000006
Bensonhurst,2011,18.076
Bay Ridge,2011,14.860999999999999
Staten Island,2011,11.708
Queens,2011,15.815999999999999
Manhattan,2011,18.284
Brooklyn,2011,23.594
Bronx,2011,30.366
