Actual Eviction Rate,Predicted Eviction Rate,RTI Change (%),Unemployment Change (%)
0.2353520281807134,0.04702823998803729,0%,4%
0.5234339536995006,0.2564740057608357,0%,4%
0.0995606345908274,0.1666954964804903,0%,4%
0.0468903680322056,0.17958431672403052,0%,4%
0.0234557724656037,-0.03770455746132273,0%,4%
0.1635858007524946,0.14522074529585394,0%,4%
0.0659135153363888,0.07477206551609694,0%,4%
0.2030317580080938,0.355010469282922,0%,4%
0.0579206487112655,0.22785431047256743,0%,4%
0.1298616972923836,0.1666954964804903,0%,4%
0.0270070335709169,0.13730666166432937,0%,4%
0.1389124174148738,0.22579268071123337,0%,4%
0.0925374070704852,0.07415337091158047,0%,4%
0.0917698470502549,0.10479742276464088,0%,4%
0.2207648853970521,0.1666954964804903,0%,4%
0.0234557724656037,-0.03770455746132273,0%,4%
0.0147436284069509,-0.03770455746132273,0%,4%
1.1023046439152016,0.6644413928369444,0%,4%
0.0468903680322056,0.17958431672403052,0%,4%
0.0369367150948042,-0.0935020411075006,0%,4%
0.0483082063565548,-0.052437666594822185,0%,4%
0.1021570400291206,0.13730666166432937,0%,4%
0.4301445285615967,0.13211873269571672,0%,4%
0.0201284193152311,-0.052437666594822185,0%,4%
0.1093312367942607,0.24704725762590873,0%,4%
0.1147111659416055,0.1666954964804903,0%,4%
0.0472474013929233,-0.009671059896983247,0%,4%
0.1895069310405334,0.4325380037549653,0%,4%
0.0535371711553619,0.14522074529585394,0%,4%
0.1019664967225054,0.10479742276464088,0%,4%
0.0553532410779315,0.12265146665675197,5%,0%
0.1439945790276131,0.2448922122386944,5%,0%
0.1352054082163286,0.22233393467677032,5%,0%
0.6486965631169669,0.2479157312154533,5%,0%
0.2834113364534581,0.22233393467677032,5%,0%
0.2353520281807134,0.06091423545081964,5%,0%
0.5234339536995006,0.27933788353942635,5%,0%
0.0995606345908274,0.18739361937970067,5%,0%
0.0468903680322056,0.2030809168214438,5%,0%
0.0234557724656037,-0.020179996693715285,5%,0%
0.1635858007524946,0.16770200452047712,5%,0%
0.0659135153363888,0.09234196572928388,5%,0%
0.2030317580080938,0.37715988715209614,5%,0%
0.0579206487112655,0.251269726189158,5%,0%
0.1298616972923836,0.18739361937970067,5%,0%
0.0270070335709169,0.1566385516329697,5%,0%
0.1389124174148738,0.2448922122386944,5%,0%
0.0925374070704852,0.09102411547745304,5%,0%
0.0917698470502549,0.12265146665675197,5%,0%
0.2207648853970521,0.18739361937970067,5%,0%
0.0234557724656037,-0.020179996693715285,5%,0%
0.0147436284069509,-0.020179996693715285,5%,0%
