Neighborhood,Year,Unemployment Rate
Williamsbridge,2010,15.876000000000001
Throgs Neck,2010,10.788
Pelham Parkway,2010,13.850000000000001
Morrisania,2010,17.093
East Tremont,2010,17.093
Bedford Park,2010,17.634
University Heights,2010,23.586
Concourse/Highbridge,2010,15.754999999999999
Unionport/Soundview,2010,11.228
Mott Haven,2010,19.058
Hunts Point,2010,19.058
Washington Heights,2010,13.666
Manhattanville,2010,9.440999999999999
Central Harlem,2010,15.885
East Harlem,2010,14.768
Upper East Side,2010,5.975
Upper West Side,2010,7.463
Chelsea/Clinton,2010,8.291
Midtown Business District,2010,8.291
Murray Hill/Stuyvesant,2010,6.5329999999999995
Lower East Side,2010,10.102
Battery Park/Tribeca,2010,6.084
Greenwich Village,2010,6.084
Tottenville,2010,8.73
South Beach,2010,8.225999999999999
St. George,2010,10.111
Williamsburg/Greenpoint,2010,8.216
Bushwick,2010,10.216
Bedford Stuyvesant,2010,12.857
Fort Greene/Brooklyn Hts,2010,10.38
Park Slope,2010,7.892
Crown Heights North,2010,10.122
Brownsville,2010,15.592
East New York,2010,12.304
Canarsie,2010,8.294
East Flatbush,2010,12.766
Crown Heights South,2010,20.201
Sunset Park,2010,12.870999999999999
Bay Ridge,2010,9.176
Borough Park,2010,8.161999999999999
Flatbush/Midwood,2010,11.135
Sheepshead Bay,2010,9.020999999999999
Bensonhurst,2010,8.596
Coney Island,2010,14.449000000000002
Astoria,2010,13.004
Jackson Heights,2010,10.337
Flushing,2010,11.568000000000001
Bayside,2010,9.647
Queens Village,2010,10.15
Fresh Meadows/Briarwood,2010,12.723
Elmhurst/Corona,2010,8.456
Rego Park/Forest Hills,2010,8.86
Sunnyside/Woodside,2010,7.414
Ridgewood/Glendale,2010,7.95
Woodhaven,2010,13.272999999999998
Jamaica/St. Albans,2010,15.533
Howard Beach,2010,10.155
The Rockaways,2010,14.235999999999999
New York City,2010,11.204
Bronx,2011,16.316
Brooklyn,2011,12.02
Manhattan,2011,8.969000000000001
Queens,2011,9.965
Staten Island,2011,8.260000000000002
Riverdale,2011,12.312
Williamsbridge,2011,15.970999999999998
Throgs Neck,2011,12.19
Pelham Parkway,2011,14.715
Morrisania,2011,20.963
East Tremont,2011,20.963
Bedford Park,2011,16.698
University Heights,2011,20.162
Concourse/Highbridge,2011,19.195
Unionport/Soundview,2011,11.529
Mott Haven,2011,19.975
Hunts Point,2011,19.975
Washington Heights,2011,16.148
Manhattanville,2011,10.605
Central Harlem,2011,15.440999999999999
East Harlem,2011,13.531
Upper East Side,2011,5.829
Upper West Side,2011,6.432
Chelsea/Clinton,2011,8.18
Midtown Business District,2011,8.18
Murray Hill/Stuyvesant,2011,6.9
Lower East Side,2011,6.741
Battery Park/Tribeca,2011,4.824
Greenwich Village,2011,4.824
Tottenville,2011,7.481
South Beach,2011,6.628
St. George,2011,10.401
Williamsburg/Greenpoint,2011,8.663
Bushwick,2011,14.682
Bedford Stuyvesant,2011,18.523
Fort Greene/Brooklyn Hts,2011,11.769
Park Slope,2011,8.516
Crown Heights North,2011,14.405000000000001
Brownsville,2011,18.836
East New York,2011,13.117
Canarsie,2011,12.344
East Flatbush,2011,13.446
Crown Heights South,2011,17.375
Sunset Park,2011,8.533
Bay Ridge,2011,9.838
Borough Park,2011,7.714
Flatbush/Midwood,2011,11.151
Sheepshead Bay,2011,8.971
Bensonhurst,2011,10.34
Coney Island,2011,12.818999999999999
Astoria,2011,10.915
Jackson Heights,2011,8.225
Flushing,2011,10.154
Bayside,2011,8.457
Queens Village,2011,9.792
Fresh Meadows/Briarwood,2011,11.5
Elmhurst/Corona,2011,4.702
Rego Park/Forest Hills,2011,6.1530000000000005
Sunnyside/Woodside,2011,7.245
Ridgewood/Glendale,2011,9.383
Woodhaven,2011,11.673
Jamaica/St. Albans,2011,14.917
Howard Beach,2011,11.118
The Rockaways,2011,12.478
New York City,2011,11.225999999999999
Bronx,2012,15.501000000000001
Brooklyn,2012,11.122
Manhattan,2012,8.816
Queens,2012,9.609
Staten Island,2012,7.170999999999999
Riverdale,2012,9.946000000000002
Williamsbridge,2012,15.684999999999999
Throgs Neck,2012,11.63
Pelham Parkway,2012,15.845
Morrisania,2012,20.878
East Tremont,2012,20.878
Bedford Park,2012,14.453
University Heights,2012,17.936
Concourse/Highbridge,2012,18.183
Unionport/Soundview,2012,13.882
Mott Haven,2012,15.967
Hunts Point,2012,15.967
Washington Heights,2012,17.119999999999997
Manhattanville,2012,11.692
Central Harlem,2012,13.494
East Harlem,2012,8.559
Upper East Side,2012,5.99
Upper West Side,2012,6.796
Chelsea/Clinton,2012,7.245
Midtown Business District,2012,7.245
Murray Hill/Stuyvesant,2012,5.523
Lower East Side,2012,9.1
Battery Park/Tribeca,2012,4.632
Greenwich Village,2012,4.632
Tottenville,2012,6.977
South Beach,2012,6.517
St. George,2012,7.858
Williamsburg/Greenpoint,2012,6.122
Bushwick,2012,17.453
Bedford Stuyvesant,2012,15.589
Fort Greene/Brooklyn Hts,2012,8.524
Park Slope,2012,7.414
Crown Heights North,2012,12.731
Brownsville,2012,12.709000000000001
East New York,2012,15.301
Canarsie,2012,11.431
East Flatbush,2012,12.209
Crown Heights South,2012,13.242999999999999
Sunset Park,2012,10.468
Bay Ridge,2012,8.24
Borough Park,2012,6.908
Flatbush/Midwood,2012,9.919
Sheepshead Bay,2012,10.758
Bensonhurst,2012,11.161999999999999
Coney Island,2012,11.764
Astoria,2012,7.828
Jackson Heights,2012,8.889
Flushing,2012,9.504999999999999
Bayside,2012,7.933999999999999
Queens Village,2012,10.632
Fresh Meadows/Briarwood,2012,9.953
Elmhurst/Corona,2012,8.08
Rego Park/Forest Hills,2012,6.174
Sunnyside/Woodside,2012,7.407
Ridgewood/Glendale,2012,7.832
Woodhaven,2012,10.194
Jamaica/St. Albans,2012,13.950999999999999
Howard Beach,2012,11.501
The Rockaways,2012,12.519
New York City,2012,10.635
Bronx,2013,14.597
Brooklyn,2013,10.398
Manhattan,2013,7.492999999999999
Queens,2013,8.904
Staten Island,2013,7.327999999999999
Riverdale,2013,11.892
Williamsbridge,2013,14.543000000000001
Throgs Neck,2013,8.870000000000001
Pelham Parkway,2013,13.248999999999999
Morrisania,2013,17.785
East Tremont,2013,17.785
Bedford Park,2013,17.794999999999998
University Heights,2013,15.686
Concourse/Highbridge,2013,14.862
Unionport/Soundview,2013,16.958000000000002
Mott Haven,2013,12.273
Hunts Point,2013,12.273
Washington Heights,2013,13.584
Manhattanville,2013,7.819
Central Harlem,2013,10.718
East Harlem,2013,13.350999999999999
Upper East Side,2013,3.4520000000000004
Upper West Side,2013,6.647
Chelsea/Clinton,2013,6.45
Midtown Business District,2013,6.45
Murray Hill/Stuyvesant,2013,3.0949999999999998
Lower East Side,2013,10.817
Battery Park/Tribeca,2013,4.2
Greenwich Village,2013,4.2
Tottenville,2013,6.494
South Beach,2013,7.162
St. George,2013,8.293000000000001
Williamsburg/Greenpoint,2013,6.465999999999999
Bushwick,2013,15.244
Bedford Stuyvesant,2013,15.493000000000002
Fort Greene/Brooklyn Hts,2013,9.038
Park Slope,2013,4.726
Crown Heights North,2013,8.853
Brownsville,2013,15.715000000000002
East New York,2013,12.661
Canarsie,2013,9.377
East Flatbush,2013,11.312
Crown Heights South,2013,14.248
Sunset Park,2013,10.631
Bay Ridge,2013,9.451
Borough Park,2013,7.162
Flatbush/Midwood,2013,10.125
Sheepshead Bay,2013,8.337
Bensonhurst,2013,9.394
Coney Island,2013,12.692999999999998
Astoria,2013,9.626
Jackson Heights,2013,6.922000000000001
Flushing,2013,6.918
Bayside,2013,6.651999999999999
Queens Village,2013,9.631
Fresh Meadows/Briarwood,2013,9.242
Elmhurst/Corona,2013,6.98
Rego Park/Forest Hills,2013,6.531000000000001
Sunnyside/Woodside,2013,5.7410000000000005
Ridgewood/Glendale,2013,8.206
Woodhaven,2013,8.802
Jamaica/St. Albans,2013,14.754999999999999
Howard Beach,2013,13.305
The Rockaways,2013,7.877000000000001
New York City,2013,9.809
New York City,2014,8.3
Bronx,2014,11.899999999999999
Brooklyn,2014,8.6
Manhattan,2014,6.6000000000000005
Queens,2014,7.7
Staten Island,2014,6.2
Riverdale,2014,9.8
Williamsbridge,2014,13.600000000000001
Throgs Neck,2014,7.3999999999999995
Pelham Parkway,2014,10.5
Morrisania,2014,13.900000000000002
East Tremont,2014,13.900000000000002
Bedford Park,2014,13.5
University Heights,2014,12.1
Concourse/Highbridge,2014,10.9
Unionport/Soundview,2014,14.299999999999999
Mott Haven,2014,11.0
Hunts Point,2014,11.0
Washington Heights,2014,11.700000000000001
Manhattanville,2014,7.5
Central Harlem,2014,13.0
East Harlem,2014,10.7
Upper East Side,2014,3.0
Upper West Side,2014,4.3999999999999995
Chelsea/Clinton,2014,5.1
Midtown Business District,2014,5.1
Murray Hill/Stuyvesant,2014,4.1000000000000005
Lower East Side,2014,6.7
Battery Park/Tribeca,2014,4.3999999999999995
Greenwich Village,2014,4.3999999999999995
