Neighborhood,Year,Median Rent,Median Income,RTI (%)
Manhattanville,2007,1052.31141,53921.62154,23.418689125720235
Central Harlem,2007,829.48415,40226.117,24.744644878351046
East Harlem,2007,713.56245,39538.31493,21.656839486355924
Upper East Side,2007,2145.83942,132474.02773,19.437827535886605
Upper West Side,2007,1786.48216,111811.62918,19.173127229448
Chelsea/Clinton,2007,1751.70565,102253.24123,20.557263072686663
Midtown Business District,2007,1751.70565,102253.24123,20.557263072686663
Murray Hill/Stuyvesant,2007,2170.31178,124841.22797,20.86149085801883
Lower East Side,2007,878.42886,41265.54822,25.54466564651398
Battery Park/Tribeca,2007,2327.45008,135204.62771,20.657133881471637
Greenwich Village,2007,2327.45008,135204.62771,20.657133881471637
Tottenville,2007,1221.04188,100970.37444,14.511684879119679
South Beach,2007,1210.73773,88073.4416,16.496292748482762
St. George,2007,1170.80914,72123.90406,19.479962798896775
Williamsburg/Greenpoint,2007,1136.03263,52597.53815,25.918307281079468
Bushwick,2007,1023.97499,40612.52266,30.2559385017035
Bedford Stuyvesant,2007,941.54179,40385.83134,27.976399408198983
Fort Greene/Brooklyn Hts,2007,1297.03499,82492.45588,18.867688825559064
Park Slope,2007,1532.74244,98268.11088,18.717068146817724
Crown Heights North,2007,1004.65471,45750.42989,26.35135134027481
Brownsville,2007,784.40349,32581.72507,28.889943242038413
East New York,2007,1080.64782,41693.17049,31.102872934813835
Canarsie,2007,1288.01886,78650.29562,19.65183499713335
East Flatbush,2007,1112.84829,55490.42851,24.065735007963447
Crown Heights South,2007,1058.7515,50093.62949,25.362542361871093
Sunset Park,2007,1141.18471,49703.35977,27.55189303775309
Bay Ridge,2007,1223.61792,63406.59242,23.157552676444553
Borough Park,2007,1141.18471,48974.3411,27.962022994935197
Flatbush/Midwood,2007,1129.59254,53086.98532,25.533773293570782
Sheepshead Bay,2007,1125.72848,58342.10226,23.154362350192077
Bensonhurst,2007,1139.89669,53445.05456,25.594061775432493
Coney Island,2007,910.62933,40277.63776,27.13056814581174
Astoria,2007,1236.49811,59831.05207,24.79979342940543
Jackson Heights,2007,1335.67556,62646.66129,25.584933642039903
Flushing,2007,1405.22858,67405.89098,25.016719925864262
Bayside,2007,1490.23782,90288.83404,19.806273976334094
Queens Village,2007,1472.20556,96634.90296,18.281662400295122
Fresh Meadows/Briarwood,2007,1258.39443,71219.71482,21.203023907306346
Elmhurst/Corona,2007,1281.57877,57425.03284,26.780908045537306
Rego Park/Forest Hills,2007,1467.05348,81742.82891,21.536619168615946
Sunnyside/Woodside,2007,1378.18018,68620.49276,24.10090848202181
Ridgewood/Glendale,2007,1279.00273,65359.22901,23.48257926612283
Woodhaven,2007,1329.23546,67068.43004,23.78291173729106
Jamaica/St. Albans,2007,1125.72848,62416.10592,21.64303838069365
Howard Beach,2007,1354.99584,77104.67299,21.08815127470784
The Rockaways,2007,971.16622,54145.73682,21.52338360218846
Bronx,2007,984.04641,43993.57217,26.841550566454035
Brooklyn,2007,1102.54414,53331.7089,24.807998755127084
Manhattan,2007,1358.8599,82712.70711,19.71440588725279
Queens,2007,1297.03499,68485.25078,22.72667428786774
Staten Island,2007,1195.2815,86277.94331,16.624617427960338
New York City,2007,1156.64094,62637.64516,22.15870543112863
Riverdale,2008,1175.2519,70208.90398,20.08722825813866
Williamsbridge,2008,1145.49869,57640.65105,23.847725571448066
Throgs Neck,2008,1121.94406,72460.23041,18.580300730236115
Pelham Parkway,2008,1073.59509,54030.59457,23.84415937401742
Morrisania,2008,834.32967,26079.93066,38.38950406166455
East Tremont,2008,834.32967,26079.93066,38.38950406166455
Bedford Park,2008,1048.80075,38906.04477,32.34872389214083
University Heights,2008,958.30139,33409.13873,34.42057208638494
Concourse/Highbridge,2008,922.34959,30706.55524,36.04505615654985
Unionport/Soundview,2008,1030.20499,49758.52911,24.844906192203954
Mott Haven,2008,730.19343,23776.53611,36.85280782474752
Hunts Point,2008,730.19343,23776.53611,36.85280782474752
Washington Heights,2008,1021.52697,46959.24768,26.104173822232752
Manhattanville,2008,1113.26604,46579.89422,28.680169209710154
Central Harlem,2008,820.69278,41105.30308,23.95874162716428
East Harlem,2008,748.78919,37605.58144,23.89398045696059
Upper East Side,2008,2137.27245,136596.99957,18.77586585410823
Upper West Side,2008,1739.32323,127698.30953,16.344678983472836
Chelsea/Clinton,2008,1806.26796,98350.48434,22.038748121532635
Midtown Business District,2008,1806.26796,98350.48434,22.038748121532635
Murray Hill/Stuyvesant,2008,2160.82707,133682.42444,19.396659619707897
Lower East Side,2008,887.63751,45296.78692,23.515244334685807
Battery Park/Tribeca,2008,2325.70946,131052.98427,21.295595575680974
Greenwich Village,2008,2325.70946,131052.98427,21.295595575680974
Tottenville,2008,1186.40936,112550.20511,12.649388160675207
South Beach,2008,1151.69728,93523.02558,14.777502411080572
St. George,2008,1155.41643,68944.39244,20.110405892787064
Williamsburg/Greenpoint,2008,1078.55396,51135.85492,25.310318054226833
Bushwick,2008,1085.99226,44684.36663,29.164354567019185
Bedford Stuyvesant,2008,989.29432,47851.84406,24.808932807510278
Fort Greene/Brooklyn Hts,2008,1234.75833,77086.85499,19.22130558046781
Park Slope,2008,1699.65228,100818.76128,20.230190394182156
Crown Heights North,2008,1063.67735,48420.87426,26.36079665034945
Brownsville,2008,802.09703,33900.06674,28.392759323517485
East New York,2008,1094.67028,44607.50416,29.448057243649206
Canarsie,2008,1244.67607,77388.10627,19.30026920143164
East Flatbush,2008,1152.93699,54029.35485,25.606901874750033
Crown Heights South,2008,1064.91707,46284.84153,27.609481673858937
Sunset Park,2008,1180.21077,54431.02322,26.019222866264535
Bay Ridge,2008,1223.60087,67984.85133,21.597767962641214
Borough Park,2008,1213.68314,49759.76883,29.269021987938366
Flatbush/Midwood,2008,1139.3001,51326.77137,26.636394293039277
Sheepshead Bay,2008,1085.99226,57521.6382,22.655660596258887
Bensonhurst,2008,1095.91,47922.50794,27.442052941939583
Coney Island,2008,865.3226,40282.13086,25.777859756448844
Astoria,2008,1309.14136,64545.87583,24.338807271553605
Jackson Heights,2008,1314.10023,59476.67221,26.513256666953662
Flushing,2008,1405.8393,69682.02417,24.21007684685346
Bayside,2008,1509.97555,91736.5931,19.75188524850505
Queens Village,2008,1390.96269,92852.33858,17.976447912099538
Fresh Meadows/Briarwood,2008,1321.53853,75010.32868,21.141704934601012
Elmhurst/Corona,2008,1317.81938,51894.56184,30.47300526162415
Rego Park/Forest Hills,2008,1464.10601,82437.47441,21.312239664960888
Sunnyside/Woodside,2008,1309.14136,67338.95867,23.329283122696676
Ridgewood/Glendale,2008,1266.99097,66725.29866,22.785797808821677
Woodhaven,2008,1327.73712,64698.36105,24.626350932888123
Jamaica/St. Albans,2008,1149.21784,64827.29163,21.2728524256567
Howard Beach,2008,1363.68892,71731.2767,22.813293995086525
The Rockaways,2008,1028.96527,57231.54437,21.5747860308876
Bronx,2008,999.21206,43431.01254,27.60825506648434
Brooklyn,2008,1110.78661,53776.45255,24.78675830765635
Manhattan,2008,1378.56552,85561.56174,19.334366862387757
Queens,2008,1309.14136,69466.31338,22.614841000793582
Staten Island,2008,1162.85473,91592.7859,15.235104624107738
New York City,2008,1164.09445,63369.38421,22.043978451341182
Riverdale,2009,1195.99538,64252.9698,22.33662444657928
Williamsbridge,2009,1172.54449,56979.49116,24.694032174646047
Throgs Neck,2009,1100.95757,57284.35273,23.06300099482681
Pelham Parkway,2009,1146.62509,59097.4768,23.2827217421912
Morrisania,2009,897.3051,28921.11853,37.23113678618847
East Tremont,2009,897.3051,28921.11853,37.23113678618847
Bedford Park,2009,1061.46133,36319.25716,35.071025555083246
University Heights,2009,1003.45124,29910.99294,40.25748962648781
Concourse/Highbridge,2009,963.955,36350.1136,31.82234896784477
Unionport/Soundview,2009,1046.65024,41580.8963,30.20570501747457
Mott Haven,2009,771.41085,23743.40889,38.98736800130977
Hunts Point,2009,771.41085,23743.40889,38.98736800130977
Washington Heights,2009,1078.74094,45781.07411,28.27563907499592
Manhattanville,2009,1171.31024,47659.61382,29.491894191768758
Central Harlem,2009,820.78115,38847.01624,25.354260772950425
East Harlem,2009,835.59223,34525.88122,29.042290611228598
Upper East Side,2009,2105.64306,121965.60984,20.717083080343162
Upper West Side,2009,2018.01079,130542.46426,18.550384824794637
Chelsea/Clinton,2009,2004.43396,100921.5218,23.833575922157767
Midtown Business District,2009,2004.43396,100921.5218,23.833575922157767
Murray Hill/Stuyvesant,2009,2282.14186,121822.43599,22.48001535796576
Lower East Side,2009,1013.3253,50918.05325,23.88132071801076
Battery Park/Tribeca,2009,2425.31572,125639.99401,23.164430139724104
Greenwich Village,2009,2425.31572,125639.99401,23.164430139724104
Tottenville,2009,1233.02311,94985.97814,15.577327948543878
South Beach,2009,1233.02311,86406.65521,17.124001946423682
St. George,2009,1097.2548,69317.12777,18.995388331278516
Williamsburg/Greenpoint,2009,1183.65281,48422.38487,29.333197359306357
Bushwick,2009,1166.37321,39224.699,35.68281943986364
Bedford Stuyvesant,2009,1014.55955,37223.96781,32.70665465364316
Fort Greene/Brooklyn Hts,2009,1340.4035,81653.53011,19.69889357916457
Park Slope,2009,1932.84703,111405.30384,20.81962308842261
Crown Heights North,2009,1076.27242,47432.51046,27.228727543087754
Brownsville,2009,881.25976,31896.91303,33.15404569104787
East New York,2009,1098.48905,41162.48306,32.02398791342496
Canarsie,2009,1298.43875,78786.35025,19.776604640979674
East Flatbush,2009,1160.20192,59057.98056,23.574160355611046
Crown Heights South,2009,1078.74094,46305.63349,27.955327039841777
Sunset Park,2009,1228.08608,48312.53596,30.50353840295491
Bay Ridge,2009,1335.46647,65342.81906,24.52541514207514
Borough Park,2009,1209.57222,50574.92971,28.699726768241117
Flatbush/Midwood,2009,1149.0936,49829.43826,27.672644287200516
Sheepshead Bay,2009,1166.37321,60710.65117,23.054403552364338
Bensonhurst,2009,1081.20945,47610.24352,27.251516566071952
Coney Island,2009,970.12629,40228.15023,28.938729256604944
Astoria,2009,1365.08864,58546.99802,27.979340075479413
