,Neighborhood,Year,Median Rent,Median Income,RTI (%),Poverty Rate,Unemployment Rate,RTI_x_Unemployment,Unnamed: 0,Population_x,Population_Growth_Rate,Employment Ratio,Percentage of mixed and commercial resident unit,Unstable Emp Rate,Evictions,Eviction Rate,Population_y,Eviction Rate by Population
22,Bedford Park,2018,1219.88308,36691.56211,39.89635795857916,27.808,9.8,390.9843079940758,2487,133784.0,-0.06796711717988013,0.584,0.22662,0.41167,1585.0,0.0304913239198184,133784.0,1.1847455600071757
23,Riverdale,2018,1318.15737,58346.08908,27.110451941880186,18.824,8.7,235.8609318943576,2488,119846.0,0.05831758534819231,0.578,0.11095,0.32397,234.0,0.0052974735126324,119846.0,0.1952505715668441
24,Throgs Neck,2018,1180.35972,58703.9357,24.128393558457784,12.702,7.1,171.31159426505025,2490,119071.0,0.05005511706865384,0.539,0.05403,0.26091,972.0,0.0195817720294935,119071.0,0.8163196748158661
25,Williamsbridge,2018,1337.38495,54759.07736,29.307687736395415,19.44,9.4,275.49226472211694,2492,135799.0,-0.09714715014194442,0.55,0.06758,0.40955,717.0,0.013050363116798,135799.0,0.5279862149205812
26,Williamsburg/Greenpoint,2018,1913.14413,86158.7824,26.645837975537596,23.708,2.4,63.950011141290226,2493,162381.0,0.06828199628952247,0.696,0.2944,0.5466,491.0,0.0057022077183039,162381.0,0.302375277895813
27,Fort Greene/Brooklyn Hts,2018,2174.85285,115836.55089,22.530223836501527,15.926000000000002,5.1,114.90414156615778,2494,145843.0,0.07677711821859967,0.693,0.41493,0.2794,368.0,0.005360524399126,145843.0,0.252326131524996
28,Bedford Stuyvesant,2018,1381.18111,58746.66365,28.212961026596105,27.036,5.800000000000001,163.63517395425743,2495,155117.0,0.09216557415139381,0.611,0.13002,0.37998,1266.0,0.0179584657285519,155117.0,0.8161581258018141
29,East New York,2018,1224.15588,44193.52259,33.23987249507915,21.732000000000003,5.6000000000000005,186.14328597244324,2497,171170.0,-0.08185872000829386,0.548,0.13046,0.32002,916.0,0.0139201264360829,171170.0,0.5351405035929193
30,East New York,2018,1224.15588,44193.52259,33.23987249507915,21.732000000000003,5.6000000000000005,186.14328597244324,2497,171170.0,-0.08185872000829386,0.548,0.13046,0.32002,916.0,0.0139201264360829,184764.4333,0.4957664111212901
31,East New York,2018,1224.15588,44193.52259,33.23987249507915,21.732000000000003,5.6000000000000005,186.14328597244324,2544,184764.4333,0.079420653736052,0.548,0.13046,0.32002,916.0,0.0139201264360829,171170.0,0.5351405035929193
32,East New York,2018,1224.15588,44193.52259,33.23987249507915,21.732000000000003,5.6000000000000005,186.14328597244324,2544,184764.4333,0.079420653736052,0.548,0.13046,0.32002,916.0,0.0139201264360829,184764.4333,0.4957664111212901
33,Sunset Park,2018,1603.36647,66717.56343,28.83857960458494,17.142,5.3,152.84447190430018,2499,132875.0,0.043261738294289254,0.631,0.17017,0.43063,113.0,0.0027270972101554,132875.0,0.0850423330197554
34,Sunset Park,2018,1603.36647,66717.56343,28.83857960458494,17.142,5.3,152.84447190430018,2499,132875.0,0.043261738294289254,0.631,0.17017,0.43063,113.0,0.0027270972101554,126721.0866,0.0891722151631234
35,Sunset Park,2018,1603.36647,66717.56343,28.83857960458494,17.142,5.3,152.84447190430018,2545,126721.0866,-0.04631355333960496,0.631,0.17017,0.43063,113.0,0.0027270972101554,132875.0,0.0850423330197554
36,Sunset Park,2018,1603.36647,66717.56343,28.83857960458494,17.142,5.3,152.84447190430018,2545,126721.0866,-0.04631355333960496,0.631,0.17017,0.43063,113.0,0.0027270972101554,126721.0866,0.0891722151631234
37,Bay Ridge,2018,1457.02322,77339.73274,22.607110240189847,15.868,3.5999999999999996,81.38559686468344,2502,125200.0,0.013863695257838815,0.585,0.14696,0.23865,258.0,0.0049548684463222,125200.0,0.2060702875399361
