"Name","Residential Units by Building Type"
"Description","Building type refers to the land use categories based on the classification from New York City's Department of City Planning/Department of Finance; read more here:&nbsp;<a href=""https://www1.nyc.gov/assets/planning/download/pdf/data-maps/open-data/pluto_datadictionary.pdf?r=16v2"">https://www1.nyc.gov/assets/planning/download/pdf/data-maps/open-data/pluto_datadictionary.pdf?r=16v2</a>."
"Source Notes","CCC analysis of NYC Pluto Data Downloader, version 2018v2. Retrieved from&nbsp;<a href=""https://chriswhong.github.io/plutoplus/"">https://chriswhong.github.io/plutoplus/</a>."
"Notes",""

Location,Building Type,TimeFrame,DataFormat,Data,Fips
Concourse/Highbridge,Multi-Family Walk-Up,2018,Percent,0.27088,204
University Heights,Multi-Family Walk-Up,2018,Percent,0.26012,205
East Tremont,Multi-Family Walk-Up,2018,Percent,0.36867,206
Bedford Park,Multi-Family Walk-Up,2018,Percent,0.34093,207
Riverdale,Multi-Family Walk-Up,2018,Percent,0.14699,208
Unionport/Soundview,Multi-Family Walk-Up,2018,Percent,0.26234,209
Throgs Neck,Multi-Family Walk-Up,2018,Percent,0.17948,210
Pelham Parkway,Multi-Family Walk-Up,2018,Percent,0.15844,211
Williamsbridge,Multi-Family Walk-Up,2018,Percent,0.31204,212
Williamsburg/Greenpoint,Multi-Family Walk-Up,2018,Percent,0.40375,301
Fort Greene/Brooklyn Hts,Multi-Family Walk-Up,2018,Percent,0.23691,302
Bedford Stuyvesant,Multi-Family Walk-Up,2018,Percent,0.44353,303
Bushwick,Multi-Family Walk-Up,2018,Percent,0.56141,304
East New York,Multi-Family Walk-Up,2018,Percent,0.28562,305
Park Slope,Multi-Family Walk-Up,2018,Percent,0.50384,306
Sunset Park,Multi-Family Walk-Up,2018,Percent,0.45967,307
Crown Heights North,Multi-Family Walk-Up,2018,Percent,0.49003,308
Crown Heights South,Multi-Family Walk-Up,2018,Percent,0.27068,309
Bay Ridge,Multi-Family Walk-Up,2018,Percent,0.27046,310
Bensonhurst,Multi-Family Walk-Up,2018,Percent,0.4138,311
Borough Park,Multi-Family Walk-Up,2018,Percent,0.37759,312
Coney Island,Multi-Family Walk-Up,2018,Percent,0.13867,313
Flatbush/Midwood,Multi-Family Walk-Up,2018,Percent,0.2062,314
Sheepshead Bay,Multi-Family Walk-Up,2018,Percent,0.14834,315
Brownsville,Multi-Family Walk-Up,2018,Percent,0.36869,316
East Flatbush,Multi-Family Walk-Up,2018,Percent,0.35368,317
Canarsie,Multi-Family Walk-Up,2018,Percent,0.15502,318
Astoria,Multi-Family Walk-Up,2018,Percent,0.44126,401
Sunnyside/Woodside,Multi-Family Walk-Up,2018,Percent,0.23976,402
Jackson Heights,Multi-Family Walk-Up,2018,Percent,0.29339,403
Elmhurst/Corona,Multi-Family Walk-Up,2018,Percent,0.35555,404
Ridgewood/Glendale,Multi-Family Walk-Up,2018,Percent,0.38611,405
Rego Park/Forest Hills,Multi-Family Walk-Up,2018,Percent,0.05218,406
Flushing,Multi-Family Walk-Up,2018,Percent,0.18046,407
Fresh Meadows/Briarwood,Multi-Family Walk-Up,2018,Percent,0.25633,408
Woodhaven,Multi-Family Walk-Up,2018,Percent,0.21743,409
Howard Beach,Multi-Family Walk-Up,2018,Percent,0.13964,410
Bayside,Multi-Family Walk-Up,2018,Percent,0.28668,411
Jamaica/St. Albans,Multi-Family Walk-Up,2018,Percent,0.08938,412
Queens Village,Multi-Family Walk-Up,2018,Percent,0.13202,413
The Rockaways,Multi-Family Walk-Up,2018,Percent,0.12405,414
St. George,Multi-Family Walk-Up,2018,Percent,0.14223,501
South Beach,Multi-Family Walk-Up,2018,Percent,0.12093,502
Tottenville,Multi-Family Walk-Up,2018,Percent,0.05004,503
Bronx,Multi-Family Walk-Up,2018,Percent,0.33354,36005
