"Name","Fair to Poor Housing"
"Description","Adults who rate their neighborhood housing conditions as fair or poor.&nbsp;"
"Source Notes","U.S. Census Bureau, Housing and Vacancy Survey, Microdata files (2002, 2005, 2008, 2011, 2014, 2017); retrieved from&nbsp;<a href=""https://www.census.gov/programs-surveys/nychvs.html"" target=""_blank"">https://www.census.gov/programs-surveys/nychvs.html</a>."
"Notes","In the Housing and Vacancy Survey (HVS), respondents are asked to rate the physical condition of the residential structures in their neighborhood, on a scale from ""excellent, good, fair, or poor."""

Location,TimeFrame,DataFormat,Data,Fips
Astoria,2002,Percent,0.139,401
Sunnyside/Woodside,2002,Percent,0.159,402
Jackson Heights,2002,Percent,0.207,403
Elmhurst/Corona,2002,Percent,0.319,404
Ridgewood/Glendale,2002,Percent,0.133,405
Rego Park/Forest Hills,2002,Percent,0.084,406
Flushing,2002,Percent,0.122,407
Fresh Meadows/Briarwood,2002,Percent,0.135,408
Woodhaven,2002,Percent,0.215,409
Howard Beach,2002,Percent,0.116,410
Bayside,2002,Percent,0.072,411
Jamaica/St. Albans,2002,Percent,0.264,412
Queens Village,2002,Percent,0.116,413
The Rockaways,2002,Percent,0.219,414
St. George,2002,Percent,0.212,501
South Beach,2002,Percent,0.045,502
Tottenville,2002,Percent,0.028,503
New York City,2002,Percent,0.255,3651000
Bronx,2002,Percent,0.429,36005
Manhattan,2002,Percent,0.248,36061
Brooklyn,2002,Percent,0.278,36047
Queens,2002,Percent,0.161,36081
Staten Island,2002,Percent,0.098,36085
New York City,2014,Percent,0.23303,3651000
Bronx,2014,Percent,0.3971,36005
Brooklyn,2014,Percent,0.26975,36047
Manhattan,2014,Percent,0.17528,36061
Queens,2014,Percent,0.16318,36081
Staten Island,2014,Percent,0.13457,36085
Mott Haven,2014,Percent,0.61197,201
Hunts Point,2014,Percent,0.61197,202
Morrisania,2014,Percent,0.54199,203
Concourse/Highbridge,2014,Percent,0.46276,204
University Heights,2014,Percent,0.54477,205
East Tremont,2014,Percent,0.54199,206
Bedford Park,2014,Percent,0.44489,207
Riverdale,2014,Percent,0.21477,208
Unionport/Soundview,2014,Percent,0.4052,209
Throgs Neck,2014,Percent,0.15978,210
Pelham Parkway,2014,Percent,0.23043,211
Williamsbridge,2014,Percent,0.30529,212
Williamsburg/Greenpoint,2014,Percent,0.23395,301
Fort Greene/Brooklyn Hts,2014,Percent,0.18333,302
Bedford Stuyvesant,2014,Percent,0.44825,303
Bushwick,2014,Percent,0.48872,304
East New York,2014,Percent,0.44811,305
Park Slope,2014,Percent,0.09918,306
Sunset Park,2014,Percent,0.19466,307
Crown Heights North,2014,Percent,0.36462,308
Crown Heights South,2014,Percent,0.28963,309
Bay Ridge,2014,Percent,0.1397,310
Bensonhurst,2014,Percent,0.1239,311
Borough Park,2014,Percent,0.1574,312
Coney Island,2014,Percent,0.24049,313
Flatbush/Midwood,2014,Percent,0.27955,314
Sheepshead Bay,2014,Percent,0.12958,315
Brownsville,2014,Percent,0.66025,316
East Flatbush,2014,Percent,0.36104,317
Canarsie,2014,Percent,0.20063,318
Battery Park/Tribeca,2014,Percent,0.08787,101
Greenwich Village,2014,Percent,0.08787,102
Lower East Side,2014,Percent,0.33754,103
Chelsea/Clinton,2014,Percent,0.12239,104
Midtown Business District,2014,Percent,0.12239,105
Murray Hill/Stuyvesant,2014,Percent,0.04662,106
Upper West Side,2014,Percent,0.07213,107
Upper East Side,2014,Percent,0.03979,108
Manhattanville,2014,Percent,0.32516,109
Central Harlem,2014,Percent,0.32105,110
East Harlem,2014,Percent,0.42419,111
Washington Heights,2014,Percent,0.31844,112
