Neighborhood,Year,Unit,Evictions,UHFNAME,Eviction Rate
East Harlem,2018,56990,108.0,East Harlem,0.18950693104053343
Washington Heights,2018,72895,163.0,Washington Heights - Inwood,0.22360930104945467
Washington Heights,2018,72895,164.0,Washington Heights - Inwood,0.22498113725221208
Washington Heights,2018,72895,148.0,Washington Heights - Inwood,0.20303175800809384
Washington Heights,2018,72895,101.0,Washington Heights - Inwood,0.13855545647849646
Washington Heights,2018,72895,103.0,Washington Heights - Inwood,0.14129912888401125
Mott Haven,2018,39063,150.0,Hunts Point - Mott Haven,0.3839950848629137
Mott Haven,2018,39063,192.0,Hunts Point - Mott Haven,0.49151370862452964
Mott Haven,2018,39063,325.0,Hunts Point - Mott Haven,0.8319893505363132
Mott Haven,2018,39063,90.0,Hunts Point - Mott Haven,0.23039705091774826
Morrisania,2018,34238,310.0,High Bridge - Morrisania,0.9054267188504002
Morrisania,2018,34238,371.0,High Bridge - Morrisania,1.08359133126935
Morrisania,2018,34238,558.0,High Bridge - Morrisania,1.6297680939307204
East Tremont,2018,33005,494.0,Crotona - Tremont,1.4967429177397362
East Tremont,2018,33005,443.0,Crotona - Tremont,1.3422208756249052
East Tremont,2018,33005,445.0,Crotona - Tremont,1.3482805635509771
Bedford Park,2018,51982,558.0,Fordham - Bronx Park,1.0734485014043322
Bedford Park,2018,51982,573.0,Fordham - Bronx Park,1.1023046439152016
Bedford Park,2018,51982,454.0,Fordham - Bronx Park,0.8733792466623062
Riverdale,2018,44172,195.0,Kingsbridge - Riverdale,0.44145612605270307
Riverdale,2018,44172,39.0,Kingsbridge - Riverdale,0.08829122521054061
Throgs Neck,2018,49638,126.0,Pelham - Throgs Neck,0.2538377855675088
Throgs Neck,2018,49638,322.0,Pelham - Throgs Neck,0.6486965631169669
Throgs Neck,2018,49638,7.0,Pelham - Throgs Neck,0.01410209919819493
Throgs Neck,2018,49638,33.0,Pelham - Throgs Neck,0.06648132479149038
Throgs Neck,2018,49638,325.0,Pelham - Throgs Neck,0.6547403199161932
Throgs Neck,2018,49638,159.0,Pelham - Throgs Neck,0.3203191103589991
Williamsbridge,2018,54941,378.0,Northeast Bronx,0.6880107751952094
Williamsbridge,2018,54941,173.0,Northeast Bronx,0.31488323838299265
Williamsbridge,2018,54941,74.0,Northeast Bronx,0.13468994011758068
Williamsbridge,2018,54941,92.0,Northeast Bronx,0.16745235798401922
Williamsburg/Greenpoint,2018,86107,127.0,Williamsburg - Bushwick,0.1474909124693695
Williamsburg/Greenpoint,2018,86107,58.0,Greenpoint,0.06735805451357033
Williamsburg/Greenpoint,2018,86107,208.0,Williamsburg - Bushwick,0.2415599196348729
Williamsburg/Greenpoint,2018,86107,25.0,Greenpoint,0.029033644186883763
Williamsburg/Greenpoint,2018,86107,73.0,Williamsburg - Bushwick,0.08477824102570058
Fort Greene/Brooklyn Hts,2018,68650,40.0,Port  Richmond,0.05826656955571741
Fort Greene/Brooklyn Hts,2018,68650,63.0,Port  Richmond,0.09176984705025491
Fort Greene/Brooklyn Hts,2018,68650,38.0,Port  Richmond,0.055353241077931534
Fort Greene/Brooklyn Hts,2018,68650,48.0,Downtown  - Heights - Slope,0.06991988346686089
Fort Greene/Brooklyn Hts,2018,68650,70.0,Downtown  - Heights - Slope,0.10196649672250546
Fort Greene/Brooklyn Hts,2018,68650,31.0,Downtown  - Heights - Slope,0.04515659140568099
Fort Greene/Brooklyn Hts,2018,68650,48.0,Downtown  - Heights - Slope,0.06991988346686089
